2017,Virginia,District 1,Democratic Party,Alicia D. Kallen,4639,False
2017,Virginia,District 1,Republican Party,Terry G. Kilgore,14848,True
2017,Virginia,District 1,Write-In,Write In,42,False
2017,Virginia,District 2,Democratic Party,Jennifer D. Carroll Foy,13366,True
2017,Virginia,District 2,Republican Party,Mike D. Makee,7803,False
2017,Virginia,District 2,Write-In,Write In,33,False
2017,Virginia,District 3,Democratic Party,"W. C. ""Bill"" Bunch, Jr.",3759,False
2017,Virginia,District 3,Republican Party,"James W. ""Will"" Morefield",13572,True
2017,Virginia,District 3,Write-In,Write In,40,False
2017,Virginia,District 4,Republican Party,Todd E. Pillion,15282,True
2017,Virginia,District 4,Write-In,Write In,596,False
2017,Virginia,District 5,Republican Party,Israel D. O'Quinn,18402,True
2017,Virginia,District 5,Write-In,Write In,518,False
2017,Virginia,District 6,Republican Party,Jeffrey L. Campbell,16795,True
2017,Virginia,District 6,Independent Party,Kenneth D. Browning,3695,False
2017,Virginia,District 6,Write-In,Write In,167,False
2017,Virginia,District 7,Democratic Party,Flourette M. Ketner,8878,False
2017,Virginia,District 7,Republican Party,"Larry N. ""Nick"" Rush",17560,True
2017,Virginia,District 7,Write-In,Write In,30,False
2017,Virginia,District 8,Democratic Party,Steve G. McBride ,10294,False
2017,Virginia,District 8,Republican Party,Gregory D. Habeeb,18311,True
2017,Virginia,District 8,Write-In,Write In,54,False
2017,Virginia,District 9,Democratic Party,Stephanie C. Cook ,6916,False
2017,Virginia,District 9,Republican Party,Charles D. Poindexter,16413,True
2017,Virginia,District 9,Write-In,Write In,27,False
2017,Virginia,District 10,Democratic Party,Wendy W. Gooditis,15161,True
2017,Virginia,District 10,Republican Party,J. Randall Minchew,14025,False
2017,Virginia,District 10,Write-In,Write In,26,False
2017,Virginia,District 11,Democratic Party,"S. ""Sam"" Rasoul",15667,True
2017,Virginia,District 11,Write-In,Write In,496,False
2017,Virginia,District 12,Democratic Party,Chris L. Hurst,12495,True
2017,Virginia,District 12,Republican Party,Joseph R. Yost,10458,False
2017,Virginia,District 12,Write-In,Write In,36,False
2017,Virginia,District 13,Democratic Party,Danica A. Roem,12077,True
2017,Virginia,District 13,Republican Party,"Robert G. ""Bob"" Marshall",10318,False
2017,Virginia,District 13,Write-In,Write In,88,False
2017,Virginia,District 14,Republican Party,"D. W. ""Danny"" Marshall III",15505,True
2017,Virginia,District 14,Write-In,Write In,507,False
2017,Virginia,District 15,Republican Party,C. Todd Gilbert,19284,True
2017,Virginia,District 15,Write-In,Write In,1171,False
2017,Virginia,District 16,Republican Party,Les R. Adams,16513,True
2017,Virginia,District 16,Write-In,Write In,668,False
2017,Virginia,District 17,Democratic Party,Djuna L. Osborne,10378,False
2017,Virginia,District 17,Republican Party,Christopher T. Head,15997,True
2017,Virginia,District 17,Write-In,Write In,39,False
2017,Virginia,District 18,Democratic Party,Tristan D. Shields,9486,False
2017,Virginia,District 18,Republican Party,Michael J. Webert,16686,True
2017,Virginia,District 18,Green Party,Wilton King,1433,False
2017,Virginia,District 18,Write-In,Write In,35,False
2017,Virginia,District 19,Republican Party,Terry L. Austin,20966,True
2017,Virginia,District 19,Write-In,Write In,803,False
2017,Virginia,District 20,Democratic Party,Michele Dixon Edwards,11197,False
2017,Virginia,District 20,Republican Party,"Richard P. ""Dickie"" Bell",14344,True
2017,Virginia,District 20,Libertarian Party,"William M. ""Will"" Hammer",745,False
2017,Virginia,District 20,Write-In,Write In,19,False
2017,Virginia,District 21,Democratic Party,Kelly K. Convirs-Fowler,12540,True
2017,Virginia,District 21,Republican Party,Ron A. Villanueva,11309,False
2017,Virginia,District 21,Write-In,Write In,56,False
2017,Virginia,District 22,Republican Party,Kathy J. Byron,19014,True
2017,Virginia,District 22,Write-In,Write In,755,False
2017,Virginia,District 23,Democratic Party,Natalie A. Short,9050,False
2017,Virginia,District 23,Republican Party,T. Scott Garrett,17370,True
2017,Virginia,District 23,Write-In,Write In,36,False
2017,Virginia,District 24,Republican Party,Ben L. Cline,17351,True
2017,Virginia,District 24,Independent Party,John C. Winfrey,6683,False
2017,Virginia,District 24,Write-In,Write In,101,False
2017,Virginia,District 25,Democratic Party,Angela M. Lynn,12783,False
2017,Virginia,District 25,Republican Party,"R. Steven ""Steve"" Landes",17688,True
2017,Virginia,District 25,Write-In,Write In,39,False
2017,Virginia,District 26,Democratic Party,Brent M. Finnegan,9234,False
2017,Virginia,District 26,Republican Party,Tony O. Wilt,11106,True
2017,Virginia,District 26,Write-In,Write In,30,False
2017,Virginia,District 27,Democratic Party,Larry V. Barnett,14333,False
2017,Virginia,District 27,Republican Party,Roxann L. Robinson,14461,True
2017,Virginia,District 27,Write-In,Write In,35,False
2017,Virginia,District 28,Democratic Party,Joshua G. Cole,11760,False
2017,Virginia,District 28,Republican Party,"Robert M. ""Bob"" Thomas, Jr.",11842,True
2017,Virginia,District 28,Write-In,Write In,45,False
2017,Virginia,District 29,Democratic Party,Casey S. Turben,8390,False
2017,Virginia,District 29,Republican Party,Christopher E. Collins,15139,True
2017,Virginia,District 29,Write-In,Write In,49,False
2017,Virginia,District 30,Democratic Party,Samuel Ben Hixon,9333,False
2017,Virginia,District 30,Republican Party,Nick J. Freitas,15355,True
2017,Virginia,District 30,Write-In,Write In,21,False
2017,Virginia,District 31,Democratic Party,Elizabeth R. Guzman,15466,True
2017,Virginia,District 31,Republican Party,L. Scott Lingamfelter,12658,False
2017,Virginia,District 31,Independent Party,Nathan D. Larson,481,False
2017,Virginia,District 31,Write-In,Write In,39,False
2017,Virginia,District 32,Democratic Party,David A. Reid,17865,True
2017,Virginia,District 32,Republican Party,"Thomas A. ""Tag"" Greason",12653,False
2017,Virginia,District 32,Write-In,Write In,34,False
2017,Virginia,District 33,Democratic Party,Tia L. Walbridge,13770,False
2017,Virginia,District 33,Republican Party,Dave A. LaRock,16723,True
2017,Virginia,District 33,Write-In,Write In,46,False
2017,Virginia,District 34,Democratic Party,Kathleen J. Murphy,20522,True
2017,Virginia,District 34,Republican Party,Cheryl A. Buford,13146,False
2017,Virginia,District 34,Write-In,Write In,20,False
2017,Virginia,District 35,Democratic Party,Mark L. Keam,22596,True
2017,Virginia,District 35,Write-In,Write In,1718,False
2017,Virginia,District 36,Democratic Party,"Kenneth R. ""Ken"" Plum",24149,True
2017,Virginia,District 36,Write-In,Write In,1815,False
2017,Virginia,District 37,Democratic Party,David L. Bulova,18877,True
2017,Virginia,District 37,Write-In,Write In,1305,False
2017,Virginia,District 38,Democratic Party,L. Kaye Kory,16023,True
2017,Virginia,District 38,Republican Party,Paul B. Haring,5723,False
2017,Virginia,District 38,Write-In,Write In,51,False
2017,Virginia,District 39,Democratic Party,Vivian E. Watts,21407,True
2017,Virginia,District 39,Write-In,Write In,1705,False
2017,Virginia,District 40,Democratic Party,Donte T. Tanner,15004,False
2017,Virginia,District 40,Republican Party,"Timothy D. ""Tim"" Hugo",15110,True
2017,Virginia,District 40,Write-In,Write In,48,False
2017,Virginia,District 41,Democratic Party,Eileen Filler-Corn,22985,True
2017,Virginia,District 41,Write-In,Write In,2317,False
2017,Virginia,District 42,Democratic Party,Kathy K. L. Tran,18761,True
2017,Virginia,District 42,Republican Party,Lolita I. Mancheno-Smoak,11967,False
2017,Virginia,District 42,Write-In,Write In,45,False
2017,Virginia,District 43,Democratic Party,Mark D. Sickles,22094,True
2017,Virginia,District 43,Write-In,Write In,1576,False
2017,Virginia,District 44,Democratic Party,Paul E. Krizek,18243,True
2017,Virginia,District 44,Write-In,Write In,1421,False
2017,Virginia,District 45,Democratic Party,Mark H. Levine,31417,True
2017,Virginia,District 45,Write-In,Write In,1599,False
2017,Virginia,District 46,Democratic Party,Charniele L. Herring,18947,True
2017,Virginia,District 46,Write-In,Write In,706,False
2017,Virginia,District 47,Democratic Party,Patrick A. Hope,29706,True
2017,Virginia,District 47,Write-In,Write In,1171,False
2017,Virginia,District 48,Democratic Party,"R. C. ""Rip"" Sullivan, Jr.",27670,True
2017,Virginia,District 48,Write-In,Write In,1573,False
2017,Virginia,District 49,Democratic Party,Alfonso H. Lopez,19308,True
2017,Virginia,District 49,Republican Party,Adam Roosevelt,4391,False
2017,Virginia,District 49,Write-In,Write In,51,False
2017,Virginia,District 50,Democratic Party,Lee J. Carter,11366,True
2017,Virginia,District 50,Republican Party,Jackson Hunter Miller,9518,False
2017,Virginia,District 50,Write-In,Write In,40,False
2017,Virginia,District 51,Democratic Party,Hala S. Ayala,15244,True
2017,Virginia,District 51,Republican Party,Richard L. Anderson,13476,False
2017,Virginia,District 51,Write-In,Write In,51,False
2017,Virginia,District 52,Democratic Party,Luke E. Torian,14830,True
2017,Virginia,District 52,Write-In,Write In,1031,False
2017,Virginia,District 53,Democratic Party,Marcus B. Simon,19235,True
