State,District,Year,Party,Incumbent,Dem Votes,GOP Votes,Other Votes
NJ,1,2013,D,D,28284.5,26721.0,0.0
NJ,10,2013,R,R,20152.5,43606.5,0.0
NJ,11,2013,R,R,20187.0,29334.5,0.0
NJ,12,2013,R,R,16715.5,31623.5,1354.0
NJ,13,2013,R,R,19233.0,38186.0,796.0
NJ,14,2013,D,D,31520.0,27184.0,838.5
NJ,15,2013,D,D,28978.5,17369.5,0.0
NJ,16,2013,R,R,24397.0,31834.0,1202.0
NJ,17,2013,D,D,23547.0,13021.5,0.0
NJ,18,2013,D,O,24591.0,21038.0,1068.0
NJ,19,2013,D,D,23398.5,12778.5,0.0
NJ,2,2013,R,R,24532.0,25572.0,1388.0
NJ,20,2013,D,D,19053.5,7494.0,0.0
NJ,21,2013,R,R,20587.0,37935.0,0.0
NJ,22,2013,D,D,23205.0,17895.5,0.0
NJ,23,2013,R,R,17188.0,35531.0,0.0
NJ,24,2013,R,R,15647.0,36246.0,0.0
NJ,25,2013,R,R,0.0,34464.5,6817.5
NJ,26,2013,R,R,18549.5,35190.0,0.0
NJ,27,2013,D,D,29949.5,25055.0,0.0
NJ,28,2013,D,D,26045.0,7663.5,0.0
NJ,29,2013,D,O,14952.0,3930.0,0.0
NJ,3,2013,D,D,30459.5,24958.5,0.0
NJ,30,2013,R,R,13432.5,38477.0,0.0
NJ,31,2013,D,D,17915.5,6406.5,0.0
NJ,32,2013,D,D,19589.0,7898.5,0.0
NJ,33,2013,D,O,19855.0,7714.0,0.0
NJ,34,2013,D,D,26948.5,8658.5,0.0
NJ,35,2013,D,D,20993.0,7898.0,0.0
NJ,36,2013,D,D,20825.5,15322.5,0.0
NJ,37,2013,D,D,26477.0,13163.0,0.0
NJ,38,2013,D,O,26150.0,25900.5,0.0
NJ,39,2013,R,O,21617.5,35276.5,0.0
NJ,4,2013,D,D,27811.0,21350.0,0.0
NJ,40,2013,R,R,20160.5,36158.5,0.0
NJ,5,2013,D,D,24964.0,17405.5,0.0
NJ,6,2013,D,D,32299.0,21773.0,0.0
NJ,7,2013,D,D,34875.0,27612.0,0.0
NJ,8,2013,R,O,22063.0,33326.5,0.0
NJ,9,2013,R,R,19613.0,44692.5,0.0
VA,1,2013,R,R,0.0,14330.0,0.0
VA,10,2013,R,R,9723.0,12950.0,0.0
VA,100,2013,D,D,13100.0,0.0,5310.0
VA,11,2013,D,D,13529.0,0.0,0.0
VA,12,2013,R,R,8650.0,9541.0,0.0
VA,13,2013,R,R,8448.0,8946.0,0.0
VA,14,2013,R,R,7988.0,12336.0,681.0
VA,15,2013,R,R,0.0,17376.0,0.0
VA,16,2013,R,O,7740.0,13292.0,0.0
VA,17,2013,R,R,9262.0,15222.0,0.0
VA,18,2013,R,R,8979.0,15549.0,0.0
VA,19,2013,R,O,6849.0,16156.0,0.0
VA,2,2013,D,R,8189.0,7966.0,0.0
VA,20,2013,R,R,0.0,16712.0,0.0
VA,21,2013,R,R,8895.0,10642.0,0.0
VA,22,2013,R,R,7612.0,15025.0,0.0
VA,23,2013,R,R,0.0,17080.0,5058.0
VA,24,2013,R,R,0.0,15950.0,0.0
VA,25,2013,R,R,0.0,19898.0,0.0
VA,26,2013,R,R,0.0,12452.0,0.0
VA,27,2013,R,R,0.0,17612.0,0.0
VA,28,2013,R,R,0.0,14998.0,0.0
VA,29,2013,R,O,0.0,12722.0,6699.0
VA,3,2013,R,R,5188.0,12291.0,0.0
VA,30,2013,R,R,8112.0,14061.0,0.0
VA,31,2013,R,R,11280.0,11508.0,0.0
VA,32,2013,R,R,11084.0,11735.0,0.0
VA,33,2013,R,O,11048.0,13827.0,876.0
VA,34,2013,R,R,14540.0,14962.0,0.0
VA,35,2013,D,D,14632.0,7961.0,0.0
VA,36,2013,D,D,18426.0,0.0,0.0
VA,37,2013,D,D,11526.0,7353.0,0.0
VA,38,2013,D,D,12534.0,0.0,4087.0
VA,39,2013,D,D,17380.0,0.0,0.0
VA,4,2013,R,O,0.0,13959.0,0.0
VA,40,2013,R,R,9903.0,14887.0,0.0
VA,41,2013,D,D,15030.0,10392.0,944.0
VA,42,2013,R,R,10247.0,15303.0,0.0
VA,43,2013,D,D,14799.0,0.0,5090.0
VA,44,2013,D,D,13438.0,0.0,5321.0
VA,45,2013,D,D,21197.0,0.0,7252.0
VA,46,2013,D,D,15066.0,0.0,0.0
VA,47,2013,D,D,20308.0,0.0,6077.0
VA,48,2013,D,D,22110.0,0.0,0.0
VA,49,2013,D,D,13087.0,0.0,3505.0
VA,5,2013,R,R,0.0,16771.0,0.0
VA,50,2013,R,R,7769.0,9498.0,0.0
VA,51,2013,R,R,11220.0,13059.0,0.0
VA,52,2013,D,D,10890.0,0.0,0.0
VA,53,2013,D,O,13726.0,5965.0,852.0
VA,54,2013,R,R,0.0,15649.0,0.0
VA,55,2013,R,O,10123.0,15334.0,1500.0
VA,56,2013,R,R,0.0,20710.0,0.0
VA,57,2013,D,D,19168.0,0.0,0.0
VA,58,2013,R,R,0.0,20191.0,0.0
VA,59,2013,R,R,0.0,16953.0,0.0
VA,6,2013,R,O,7425.0,11576.0,1288.0
VA,60,2013,R,R,7105.0,12806.0,0.0
VA,61,2013,R,R,0.0,16272.0,0.0
VA,62,2013,R,R,0.0,15148.0,0.0
VA,63,2013,D,D,15962.0,0.0,0.0
VA,64,2013,R,R,0.0,20188.0,0.0
VA,65,2013,R,R,9431.0,19839.0,0.0
VA,66,2013,R,R,0.0,20224.0,0.0
VA,67,2013,R,R,10642.0,12787.0,0.0
VA,68,2013,R,R,0.0,20634.0,12108.0
VA,69,2013,D,D,16992.0,0.0,2458.0
VA,7,2013,R,R,7109.0,13238.0,0.0
VA,70,2013,D,D,18422.0,0.0,0.0
VA,71,2013,D,D,18219.0,2468.0,0.0
VA,72,2013,R,R,0.0,20784.0,0.0
VA,73,2013,R,R,0.0,19405.0,0.0
VA,74,2013,D,D,21440.0,0.0,0.0
VA,75,2013,D,D,12443.0,7472.0,0.0
VA,76,2013,R,R,0.0,20922.0,0.0
VA,77,2013,D,D,15920.0,0.0,0.0
VA,78,2013,R,O,9430.0,13770.0,889.0
VA,79,2013,D,D,11445.0,0.0,0.0
VA,8,2013,R,R,0.0,20058.0,0.0
VA,80,2013,D,D,17293.0,0.0,0.0
VA,81,2013,R,R,0.0,14064.0,0.0
VA,82,2013,R,O,9372.0,13995.0,0.0
VA,83,2013,R,R,0.0,15426.0,0.0
VA,84,2013,R,O,7476.0,10101.0,0.0
VA,85,2013,R,O,8528.0,11041.0,0.0
VA,86,2013,R,R,10335.0,10389.0,0.0
VA,87,2013,R,R,10087.0,10274.0,0.0
VA,88,2013,R,R,8340.0,13322.0,0.0
VA,89,2013,D,D,14892.0,0.0,0.0
VA,9,2013,R,R,0.0,17216.0,0.0
VA,90,2013,D,D,13217.0,0.0,0.0
VA,91,2013,R,R,0.0,17395.0,0.0
VA,92,2013,D,D,17353.0,0.0,0.0
VA,93,2013,D,R,12132.0,11094.0,0.0
VA,94,2013,R,R,10458.0,11001.0,0.0
VA,95,2013,D,D,12803.0,3897.0,0.0
VA,96,2013,R,R,0.0,22015.0,0.0
VA,97,2013,R,R,0.0,24288.0,0.0
VA,98,2013,R,R,0.0,17960.0,5756.0
VA,99,2013,R,R,0.0,17839.0,0.0
AK,1,2014,D,O,2973.0,2434.0,0.0
AK,10,2014,R,O,1475.0,4475.0,998.0
AK,11,2014,R,O,2275.0,5268.0,0.0
AK,12,2014,R,O,2155.0,5569.0,0.0
AK,13,2014,R,O,0.0,3642.0,0.0
AK,14,2014,R,O,2123.0,6172.0,0.0
AK,15,2014,R,O,1782.0,1995.0,0.0
AK,16,2014,D,O,3253.0,2745.0,0.0
AK,17,2014,D,O,4055.0,0.0,0.0
AK,18,2014,D,O,3764.0,0.0,1769.0
AK,19,2014,D,O,2545.0,0.0,1461.0
AK,2,2014,R,O,1118.0,2324.0,0.0
AK,20,2014,D,O,4635.0,0.0,0.0
AK,21,2014,D,O,3849.0,3759.0,0.0
AK,22,2014,D,O,3138.0,2089.5,0.0
AK,23,2014,D,O,4208.0,0.0,0.0
AK,24,2014,R,O,2926.0,5073.0,0.0
AK,25,2014,R,O,3045.0,3655.0,0.0
AK,26,2014,R,O,2436.0,4913.0,0.0
