Year,State,District,Party,Name,Votes,Winner,Incumbent
2014,Alabama,District 1,Democratic Party,Greg Burdine,4652,False,1.0
2014,Alabama,District 1,Republican Party,Phillip Pettus,4933,True,0.0
2014,Alabama,District 2,Democratic Party,"Andrew ""Andy"" Betterton",5224,False,0.0
2014,Alabama,District 2,Republican Party,Lynn Greer,8561,True,1.0
2014,Alabama,District 3,Democratic Party,Marcel Black,7993,True,1.0
2014,Alabama,District 3,Republican Party,Fred Joly,5357,False,0.0
2014,Alabama,District 4,Republican Party,Micky Hammon,8473,True,1.0
2014,Alabama,District 5,Democratic Party,Henry A. White,5520,False,0.0
2014,Alabama,District 5,Republican Party,Dan Williams,7132,True,1.0
2014,Alabama,District 6,Republican Party,Phil Williams,8323,True,1.0
2014,Alabama,District 7,Democratic Party,Jody Letson,5553,False,0.0
2014,Alabama,District 7,Republican Party,Ken Johnson,6072,True,1.0
2014,Alabama,District 8,Democratic Party,Rex Cheatham,4195,False,0.0
2014,Alabama,District 8,Republican Party,Terri Collins,6270,True,1.0
2014,Alabama,District 9,Republican Party,Ed Henry,9624,True,1.0
2014,Alabama,District 10,Republican Party,Mike Ball,8667,True,1.0
2014,Alabama,District 11,Republican Party,Randall Shedd,8941,True,1.0
2014,Alabama,District 12,Republican Party,Corey Harbison,9455,True,0.0
2014,Alabama,District 13,Republican Party,Connie Cooner Rowe,9482,True,0.0
2014,Alabama,District 14,Republican Party,Tim Wadsworth,9255,True,0.0
2014,Alabama,District 15,Republican Party,Allen Farley,10178,True,1.0
2014,Alabama,District 16,Democratic Party,Daniel H. Boman,3430,False,1.0
2014,Alabama,District 16,Republican Party,Kyle South,10467,True,0.0
2014,Alabama,District 17,Democratic Party,Don Barnwell,4027,False,0.0
2014,Alabama,District 17,Republican Party,Mike Millican,7854,True,1.0
2014,Alabama,District 18,Democratic Party,Johnny Mack Morrow,6700,True,1.0
2014,Alabama,District 18,Republican Party,Gerry Wallace,4559,False,0.0
2014,Alabama,District 19,Democratic Party,Laura Hall,7615,True,1.0
2014,Alabama,District 19,unaffiliated,A.J. Smith,1557,False,0.0
2014,Alabama,District 20,Republican Party,Howard Sanderford,12876,True,1.0
2014,Alabama,District 21,Democratic Party,C. Terry Jones,4558,False,0.0
2014,Alabama,District 21,Republican Party,Jim Patterson,9428,True,1.0
2014,Alabama,District 22,Democratic Party,Dennis W. Stephens,2998,False,0.0
2014,Alabama,District 22,Republican Party,Ritchie Whorton,8688,True,0.0
2014,Alabama,District 23,Democratic Party,John Robinson,3539,False,1.0
2014,Alabama,District 23,Republican Party,"James T. (Tommy) Hanes, Jr.",5493,True,0.0
2014,Alabama,District 24,Democratic Party,David Beddingfield,4338,False,0.0
2014,Alabama,District 24,Republican Party,Nathaniel Ledbetter,6877,True,0.0
2014,Alabama,District 25,Republican Party,Mac McCutcheon,10432,True,1.0
2014,Alabama,District 26,Republican Party,Kerry Rich,5679,True,1.0
2014,Alabama,District 27,Democratic Party,Jeff McLaughlin,4959,False,0.0
2014,Alabama,District 27,Republican Party,Will Ainsworth,7355,True,0.0
2014,Alabama,District 28,Democratic Party,Craig Ford,6827,True,1.0
2014,Alabama,District 28,Republican Party,Doug Sherrod,3704,False,0.0
2014,Alabama,District 29,Democratic Party,Michael J. Gladden,3948,False,0.0
2014,Alabama,District 29,Republican Party,Becky Nordgren,6957,True,1.0
2014,Alabama,District 30,Republican Party,Mack N. Butler,9360,True,1.0
2014,Alabama,District 31,Republican Party,Mike Holmes,10944,True,1.0
2014,Alabama,District 32,Democratic Party,Barbara Bigsby Boyd,6099,True,1.0
2014,Alabama,District 32,unaffiliated,Angela Fears,1812,False,0.0
2014,Alabama,District 33,Democratic Party,Anthony Zachero,2748,False,0.0
2014,Alabama,District 33,Republican Party,Ron Johnson,8343,True,1.0
2014,Alabama,District 34,Republican Party,David Standridge,9468,True,1.0
2014,Alabama,District 35,Republican Party,Steve Hurst,9220,True,1.0
2014,Alabama,District 36,Republican Party,Randy Wood,9023,True,1.0
2014,Alabama,District 37,Democratic Party,Josh Burns,5518,False,0.0
2014,Alabama,District 37,Republican Party,Bob Fincher,5949,True,0.0
2014,Alabama,District 37,unaffiliated,Guy Kelly,531,False,0.0
2014,Alabama,District 38,Republican Party,Isaac Whorton,7279,True,0.0
2014,Alabama,District 39,Democratic Party,Richard Lindsey,6550,True,1.0
2014,Alabama,District 39,Republican Party,Heath Jones,4692,False,0.0
2014,Alabama,District 40,Democratic Party,Ted Copland,3035,False,0.0
2014,Alabama,District 40,Republican Party,Koven L. (K.L.) Brown,7452,True,1.0
2014,Alabama,District 41,Republican Party,Mike Hill,9223,True,1.0
2014,Alabama,District 42,Republican Party,James M. (Jimmy) Martin,9416,True,0.0
2014,Alabama,District 43,Republican Party,Arnold Mooney,11492,True,0.0
2014,Alabama,District 44,Republican Party,Danny Garrett,10360,True,0.0
2014,Alabama,District 45,Republican Party,Dickie Drake,9609,True,1.0
2014,Alabama,District 46,Republican Party,David Faulkner,10778,True,0.0
2014,Alabama,District 47,Democratic Party,Salvatore Bambinelli,2642,False,0.0
2014,Alabama,District 47,Republican Party,Jack Williams,7073,True,1.0
2014,Alabama,District 48,Republican Party,Jim Carns,11450,True,1.0
2014,Alabama,District 49,Republican Party,April Weaver,7755,True,1.0
2014,Alabama,District 50,Republican Party,Jim Hill,9201,True,0.0
2014,Alabama,District 51,Republican Party,Allen Treadaway,10746,True,1.0
2014,Alabama,District 52,Democratic Party,"John W. Rogers, Jr.",7305,True,1.0
2014,Alabama,District 52,Republican Party,Phillip Bahakel,2207,False,0.0
2014,Alabama,District 53,Democratic Party,Anthony Daniels,4166,True,0.0
2014,Alabama,District 53,Republican Party,Christopher Horn,1190,False,0.0
2014,Alabama,District 54,Democratic Party,Patricia Todd,7601,True,1.0
2014,Alabama,District 55,Democratic Party,"Roderick ""Rod"" Scott",8453,True,1.0
2014,Alabama,District 56,Democratic Party,Louise Alexander,7960,True,0.0
2014,Alabama,District 56,Republican Party,Darius Foster,3680,False,0.0
2014,Alabama,District 56,unaffiliated,Rickey Levins,406,False,0.0
2014,Alabama,District 57,Democratic Party,Merika Coleman,10184,True,1.0
2014,Alabama,District 58,Democratic Party,Oliver Robinson,8287,True,1.0
2014,Alabama,District 59,Democratic Party,Mary Moore,7949,True,1.0
2014,Alabama,District 60,Democratic Party,"Juandalynn ""LeLe"" Givan",9584,True,1.0
2014,Alabama,District 61,Republican Party,Alan Harper,9010,True,1.0
2014,Alabama,District 62,Republican Party,Rich Wingo,8416,True,0.0
2014,Alabama,District 63,Republican Party,Bill Poole,6249,True,1.0
2014,Alabama,District 64,Republican Party,Harry Shiver,8781,True,1.0
2014,Alabama,District 65,Democratic Party,Elaine Beech,8469,True,1.0
2014,Alabama,District 66,Republican Party,Alan Baker,7510,True,1.0
2014,Alabama,District 67,Democratic Party,Darrio Melton,9836,True,1.0
2014,Alabama,District 68,Democratic Party,"Thomas E. ""Action"" Jackson",8998,True,1.0
2014,Alabama,District 69,Democratic Party,Kelvin J. Lawrence,9396,True,0.0
2014,Alabama,District 69,Republican Party,Loretta G. Grant,4340,False,0.0
2014,Alabama,District 69,Independence Party of America,Cedric Coley,425,False,0.0
2014,Alabama,District 70,Democratic Party,Christopher John England,6799,True,1.0
2014,Alabama,District 71,Democratic Party,"Artis ""A.J."" McCampbell",9942,True,1.0
2014,Alabama,District 72,Democratic Party,Ralph A. Howard,10435,True,1.0
2014,Alabama,District 73,Republican Party,Matt Fridy,9183,True,0.0
2014,Alabama,District 74,Democratic Party,Zack Buckner,3621,False,0.0
2014,Alabama,District 74,Republican Party,Dimitri Polizos,9481,True,1.0
2014,Alabama,District 75,Republican Party,Reed Ingram,8338,True,0.0
2014,Alabama,District 76,Democratic Party,Thad McClammy,8342,True,1.0
2014,Alabama,District 77,Democratic Party,John Knight,6891,True,1.0
2014,Alabama,District 77,Republican Party,David Grimes,3775,False,0.0
2014,Alabama,District 78,Democratic Party,Alvin Holmes,6998,True,1.0
2014,Alabama,District 78,Republican Party,Tijuana Adetunji,2637,False,0.0
2014,Alabama,District 79,Democratic Party,Shirley Scott-Harris,3535,False,0.0
2014,Alabama,District 79,Republican Party,Mike Hubbard,5136,True,1.0
2014,Alabama,District 80,Democratic Party,Tillman Pugh,2241,False,0.0
2014,Alabama,District 80,Republican Party,Lesley Vance,4702,True,1.0
2014,Alabama,District 81,Democratic Party,Dylan V. Oliver,4352,False,0.0
2014,Alabama,District 81,Republican Party,Mark M. Tuggle,9119,True,1.0
2014,Alabama,District 82,Democratic Party,Pebblin W. Warren,8455,True,1.0
2014,Alabama,District 83,Democratic Party,"George ""Tootie"" Bandy",5257,True,1.0
2014,Alabama,District 83,Republican Party,Gary Head,2752,False,0.0
2014,Alabama,District 84,Democratic Party,Berry Forte,7365,True,1.0
2014,Alabama,District 84,Republican Party,Jerry A. McGilvray,4316,False,0.0
2014,Alabama,District 85,Democratic Party,Dexter Grimsley,5777,True,1.0
2014,Alabama,District 85,Republican Party,Bobby Lewis,3405,False,0.0
2014,Alabama,District 86,Republican Party,Paul Lee,9253,True,1.0
2014,Alabama,District 87,Republican Party,Donnie Chesteen,10404,True,1.0
2014,Alabama,District 88,Republican Party,Paul Beckman,8215,True,1.0
2014,Alabama,District 89,Democratic Party,Joel Lee Williams,5436,False,0.0
2014,Alabama,District 89,Republican Party,Alan C. Boothe,5520,True,1.0
2014,Alabama,District 90,Democratic Party,Walton Hickman,5894,False,0.0
2014,Alabama,District 90,Republican Party,Chris Sells,7722,True,0.0
2014,Alabama,District 91,Republican Party,Barry Moore,7484,True,1.0
2014,Alabama,District 92,Republican Party,"Mike Jones, Jr.",7673,True,1.0
2014,Alabama,District 93,Democratic Party,Jennifer Marsden,2773,False,0.0
2014,Alabama,District 93,Republican Party,Steve Clouse,9139,True,1.0
2014,Alabama,District 94,Republican Party,Joe Faust,10738,True,1.0
2014,Alabama,District 95,Republican Party,Steve McMillan,10336,True,1.0
2014,Alabama,District 96,Republican Party,Randy Davis,10007,True,1.0
2014,Alabama,District 97,Democratic Party,Adline C. Clarke,6168,True,1.0
