Year,State,District,Party,Name,Votes,Incumbent
2016,New York,District 1,Democratic Party,Fred Thiele,35246,1.0
2016,New York,District 1,Republican Party,Heather Collins,21280,0.0
2016,New York,District 2,Democratic Party,Michael Conroy,19575,0.0
2016,New York,District 2,Republican Party,Anthony Palumbo,39795,1.0
2016,New York,District 2,Libertarian Party,Jack McCarthy,0,0.0
2016,New York,District 3,Democratic Party,Gregory D. Schoen,17404,0.0
2016,New York,District 3,Republican Party,Dean Murray,29087,1.0
2016,New York,District 4,Democratic Party,Steven Englebright,31941,1.0
2016,New York,District 4,Republican Party,Steven Weissbard,21994,0.0
2016,New York,District 5,Democratic Party,Deborah Slinkosky,18313,0.0
2016,New York,District 5,Republican Party,Alfred Graf,33384,1.0
2016,New York,District 5,Libertarian Party,James Smith,824,0.0
2016,New York,District 6,Democratic Party,Philip Ramos,1,1.0
2016,New York,District 7,Democratic Party,Nicholas R. Gambini,18653,0.0
2016,New York,District 7,Republican Party,Andrew Garbarino,38235,1.0
2016,New York,District 8,Democratic Party,Richard Macellaro,19121,0.0
2016,New York,District 8,Republican Party,Michael Fitzpatrick,43286,1.0
2016,New York,District 9,Democratic Party,Brendan J. Cunningham,18841,0.0
2016,New York,District 9,Republican Party,Joseph Saladino,41341,1.0
2016,New York,District 10,Democratic Party,Edwin Perez,22923,0.0
2016,New York,District 10,Republican Party,Chad Lupinacci,32671,1.0
2016,New York,District 11,Democratic Party,Kimberly Jean-Pierre,26129,1.0
2016,New York,District 11,Republican Party,Shawn Cullinane,17369,0.0
2016,New York,District 12,Democratic Party,Spencer B. Rumsey,21243,0.0
2016,New York,District 12,Republican Party,Andrew Raia,39021,1.0
2016,New York,District 13,Democratic Party,Charles Lavine,31860,1.0
2016,New York,District 13,Republican Party,Jeffrey S. Vitale,18570,0.0
2016,New York,District 13,Green Party,Jeffery J. Peress,614,0.0
2016,New York,District 14,Democratic Party,Michael F. Reid,23591,0.0
2016,New York,District 14,Republican Party,David McDonough,40009,1.0
2016,New York,District 15,Democratic Party,Dean E. Hart,24309,0.0
2016,New York,District 15,Republican Party,Michael Montesano,30704,1.0
2016,New York,District 16,Democratic Party,Anthony D'Urso,29409,0.0
2016,New York,District 16,Republican Party,Matthew Varvaro,26932,0.0
2016,New York,District 17,Democratic Party,Matthew W. Malin,21434,0.0
2016,New York,District 17,Republican Party,Thomas McKevitt,35953,1.0
2016,New York,District 18,Democratic Party,Earlene Hill Hooper,36690,1.0
2016,New York,District 18,Republican Party,Cornelius Smith,5000,0.0
2016,New York,District 19,Democratic Party,Gary B. Port,21331,0.0
2016,New York,District 19,Republican Party,Edward Ra,34344,1.0
2016,New York,District 20,Democratic Party,Anthony P. Eramo,26056,0.0
2016,New York,District 20,Republican Party,Melissa L. Miller,28851,0.0
2016,New York,District 20,Green Party,Joseph R. Naham,872,0.0
2016,New York,District 21,Democratic Party,Travis P. Bourgeois,25237,0.0
2016,New York,District 21,Republican Party,Brian Curran,34027,1.0
2016,New York,District 22,Democratic Party,Michaelle C. Solages,36598,1.0
2016,New York,District 22,Republican Party,Robert M. Bogle,18637,0.0
2016,New York,District 23,Democratic Party,Stacey G. Pheffer Amato,27042,0.0
2016,New York,District 23,Republican Party,Alan N. Zwirn,12836,0.0
2016,New York,District 24,Democratic Party,David Weprin,30036,1.0
2016,New York,District 24,Republican Party,Ira I. Harris,6304,0.0
2016,New York,District 25,Democratic Party,Nily Rozic,22143,1.0
2016,New York,District 25,Republican Party,Usman Ali Chohan,6856,0.0
2016,New York,District 26,Democratic Party,Edward Braunstein,1,1.0
2016,New York,District 27,Democratic Party,Michael Simanowitz,1,1.0
2016,New York,District 28,Democratic Party,Andrew Hevesi,1,1.0
2016,New York,District 29,Democratic Party,Alicia Hyndman,1,1.0
2016,New York,District 30,Democratic Party,Brian Barnwell,24452,0.0
2016,New York,District 30,Republican Party,Anthony Nunziato,11542,0.0
2016,New York,District 31,Democratic Party,Michele Titus,1,1.0
2016,New York,District 32,Democratic Party,Vivian Cook,1,1.0
2016,New York,District 33,Democratic Party,Clyde Vanel,40212,0.0
2016,New York,District 33,Republican Party,Goldy-Francois Wellington,4450,0.0
2016,New York,District 33,,Leroy Gadsden,914,0.0
2016,New York,District 34,Democratic Party,Michael DenDekker,1,1.0
2016,New York,District 35,Democratic Party,Jeffrion Aubry,1,1.0
2016,New York,District 36,Democratic Party,Aravella Simotas,1,1.0
2016,New York,District 37,Democratic Party,Catherine Nolan,1,1.0
2016,New York,District 38,Democratic Party,Michael Miller,23958,1.0
2016,New York,District 38,Republican Party,Joseph Maldonado,5795,0.0
2016,New York,District 39,Democratic Party,Francisco Moya,1,1.0
2016,New York,District 40,Democratic Party,Ron Kim,16479,1.0
2016,New York,District 40,Republican Party,Miriam M. Rodriguez,5419,0.0
2016,New York,District 41,Democratic Party,Helene Weinstein,28316,1.0
2016,New York,District 41,Republican Party,Ramona Johnson,7828,0.0
2016,New York,District 42,Democratic Party,Rodneyse Bichotte,34379,1.0
2016,New York,District 42,Republican Party,Matthew Williams,3562,0.0
2016,New York,District 43,Democratic Party,Diana Richardson,1,1.0
2016,New York,District 44,Democratic Party,Robert C. Carroll,34779,0.0
2016,New York,District 44,Republican Party,Glenn Nocera,5921,0.0
2016,New York,District 45,Democratic Party,Steven Cymbrowitz,17895,1.0
2016,New York,District 45,Conservative Party,Boris Gintchanski,4692,0.0
2016,New York,District 46,Democratic Party,Pamela Harris,20061,1.0
2016,New York,District 46,Republican Party,Lucretia Regina-Potter,11807,0.0
2016,New York,District 46,Conservative Party,Mikhail Usher,1699,0.0
2016,New York,District 46,Green Party,Patrick Dwyer,1252,0.0
2016,New York,District 47,Democratic Party,William Colton,18872,1.0
2016,New York,District 47,Conservative Party,Malka Shahar,2416,0.0
2016,New York,District 48,Democratic Party,Dov Hikind,1,1.0
2016,New York,District 49,Democratic Party,Peter Abbate,13824,1.0
2016,New York,District 49,Republican Party,Rosemary A. Mangino,4474,0.0
2016,New York,District 50,Democratic Party,Joseph Lentol,1,1.0
2016,New York,District 51,Democratic Party,Felix Ortiz,24181,1.0
2016,New York,District 51,Republican Party,Henry Lallave,3288,0.0
2016,New York,District 52,Democratic Party,Jo Anne Simon,57578,1.0
2016,New York,District 52,Republican Party,Daniel Ramos,5146,0.0
2016,New York,District 53,Democratic Party,Maritza Davila,1,1.0
2016,New York,District 54,Democratic Party,Erik Dilan,28424,1.0
2016,New York,District 54,Republican Party,Khorshed Chowdhury,1513,0.0
2016,New York,District 55,Democratic Party,Latrice Walker,35352,1.0
2016,New York,District 55,Republican Party,Berneda Jackson,869,0.0
2016,New York,District 56,Democratic Party,Tremaine S. Wright a,1,0.0
2016,New York,District 57,Democratic Party,Walter Mosley,1,1.0
2016,New York,District 58,Democratic Party,N. Nick Perry,1,1.0
2016,New York,District 59,Democratic Party,Jaime Williams,33329,1.0
