State,Year,District,Dem Votes,GOP Votes,D Voteshare,Incumbent,Party
KY,1971,1,6658,0,1.0,D,D
KY,1971,2,100,0,1.0,D,D
KY,1971,3,100,0,1.0,O,D
KY,1971,4,6397,0,1.0,O,D
KY,1971,5,7208,0,1.0,O,D
KY,1971,6,6571,0,1.0,D,D
KY,1971,7,4728,3425,0.5799092358640991,D,D
KY,1971,8,100,0,1.0,D,D
KY,1971,9,100,0,1.0,D,D
KY,1971,10,100,0,1.0,D,D
KY,1971,11,100,0,1.0,D,D
KY,1971,12,6332,0,1.0,D,D
KY,1971,13,100,0,1.0,D,D
KY,1971,14,100,0,1.0,D,D
KY,1971,15,5672,3804,0.5985647952722668,D,D
KY,1971,16,5624,0,1.0,O,D
KY,1971,17,0,6139,0.0,R,R
KY,1971,18,5218,3088,0.6282205634481098,O,D
KY,1971,19,4054,4812,0.4572524249943605,O,R
KY,1971,20,100,0,1.0,O,D
KY,1971,21,4530,0,1.0,D,D
KY,1971,22,0,6363,0.0,R,R
KY,1971,23,6565,4620,0.5869468037550291,O,D
KY,1971,24,7037,4524,0.6086843698641986,O,D
KY,1971,25,100,0,1.0,O,D
KY,1971,26,100,0,1.0,D,D
KY,1971,27,1475,1513,0.4936412315930388,O,R
KY,1971,28,2550,1905,0.5723905723905723,O,D
KY,1971,29,2220,2134,0.5098759761139182,O,D
KY,1971,30,3771,3013,0.5558667452830188,O,D
KY,1971,31,2741,3090,0.4700737437832276,O,R
KY,1971,32,4792,9152,0.34366035570854847,R,R
KY,1971,33,6387,5176,0.5523653031220271,D,D
KY,1971,34,6242,4642,0.5735023888276369,O,D
KY,1971,35,5870,4124,0.5873524114468681,D,D
KY,1971,36,3345,1851,0.6437644341801386,O,D
KY,1971,37,3602,2917,0.5525387329344992,D,D
KY,1971,38,3105,3786,0.45058772311710926,R,R
KY,1971,39,2641,2272,0.5375534296763688,O,D
KY,1971,40,3409,2131,0.6153429602888086,D,D
KY,1971,41,2898,1307,0.689179548156956,D,D
KY,1971,42,2682,1271,0.6784720465469264,O,D
KY,1971,43,3675,1685,0.6856343283582089,D,D
KY,1971,44,3144,2303,0.5771984578667156,D,D
KY,1971,45,4145,3332,0.5543667246221746,D,D
KY,1971,46,3953,3530,0.5282640652144862,D,D
KY,1971,47,0,100,0.0,R,R
KY,1971,48,3101,5820,0.34760677054141914,R,R
KY,1971,49,4205,0,1.0,O,D
KY,1971,50,5496,0,1.0,D,D
KY,1971,51,4916,7127,0.40820393589637133,R,R
KY,1971,52,0,7237,0.0,O,R
KY,1971,53,5548,8023,0.40881290988136465,O,R
KY,1971,54,5529,3968,0.5821838475307992,D,D
KY,1971,55,4951,4601,0.518320770519263,R,D
KY,1971,56,4928,2427,0.6700203942895989,O,D
KY,1971,57,100,0,1.0,D,D
KY,1971,58,4718,3308,0.5878395215549465,O,D
KY,1971,59,5559,0,1.0,D,D
KY,1971,60,3947,3192,0.5528785544193865,O,D
KY,1971,61,6321,0,1.0,D,D
KY,1971,62,4887,0,1.0,D,D
KY,1971,63,4357,4674,0.48244934115823274,D,R
